"ClaimId","ClaimNumber","ClaimDispositionSequence","BusinessUnit","ClaimType","ProductIdentification1","ProductIdentification2","MaterialSource","Heat","ProductType","SteelFamily","SteelType","SteelGradeASTMAISI","Finish","MaterialGaugeOrDiameter","MaterialWidthOrLegLength","MaterialLength","CustomerNumber","FormatMinGaugeOrDiameter","FormatMinWidthOrLegLength","FormatMaxWidthOrLegLength","FormatMinWeight","FormatMaxWeight","OriginalShippedWeight","OriginalShipQuality","ClaimDispositionStatus","TotalWeightClaimed","CustomerClaimDefect","CustomerClaimDefectDesc","CustomerClaimDefectWeight","NASIdentifiedDefect","NASIdentifiedDefectDesc","NASIdentifiedDefectWeight","AreaofResponsibilityDefect","AreaofResponsibilityDefectDesc","AreaofResponsibilityDefectWeigh","CustomerDefectOrigin","CustomerDefectGroup","CustomerDefectGroupDesc","TotalReturnInventoryWeight","TotalScrapAtCustomerWeight","TotalSell3rdPartyWeight","TotalCustomerCreditWeight","LastInspectionLine","LastInspectionMachine"
30,67755,1,"F","T","04W88R ","B     ","F","W88R  ","B","A",101,"301",32,"0.046","60","0","ad179b72434468ffac702ff96360b0aa","0.045","0.051","60.125","12000","36000","30540","1A","C","3530","FF37","DARK STREAKS IN POLISH                            ","3530",8,"Operation Defect                                  ",3530,"F046","Line 3520                                         ","3530","CM ","C75","Poor Polish              ","3325","205","0","0",4340,"     "
31,67755,2,"F","T","04W88R ","B     ","F","W88R  ","B","A",101,"301",32,"0.046","60","0","ad179b72434468ffac702ff96360b0aa","0.045","0.051","60.125","12000","36000","30540","1A","C","564","FC04","SLIVERS TYPE B (EDGES)                            ","564",8,"Operation Defect                                  ",564,"F039","Melt Shop                                         ","564","AC ","F05","Slivers                  ","0","564","0","0",4340,"     "
32,67762,1,"F","T","04W75A ","CA    ","F","W75A  ","B","E",601,"201",43,"0.0345","60","0","679e19234b295ee432a3920c30fda6ac","0.071","0.079","38.5625","10000","20000","13640","1A","C","1050","FL41","ROLLED BUGS FROM ANNEALING AND PICKLING           ","1050",1,"Defect Not Seen                                   ",1050,"F027","Line 4320                                         ","1050","CM ","D20","Rolled Bugs              ","1050","0","0","0",4320,"     "
33,67763,1,"F","C","03W98W ","BA    ","F","W98W  ","B","B",120,"304",71,"0.0232","49","0","ad179b72434468ffac702ff96360b0aa","0.0225","0.0255","50","15000","20000","15330","1A","X","0","    ","                                                  ","0",999,"                                                  ",0,"    ","                                                  ","0","   ","   ","                         ","0","0","0","0",4320,"     "
34,67772,1,"F","T","04W88R ","A     ","F","W88R  ","B","A",101,"301",32,"0.046","60","0","ad179b72434468ffac702ff96360b0aa","0.045","0.051","60.125","12000","36000","33750","1A","C","0","FF37","DARK STREAKS IN POLISH                            ","0",8,"Operation Defect                                  ",0,"F046","Line 3520                                         ","0","CM ","C75","Poor Polish              ","0","0","0","0",4340,"     "
35,67775,1,"F","T","02W89K ","B     ","F","W89K  ","B","B",120,"304",71,"0.049","49","0","b8e9acebf18ada68b0776739b29c12c0","0.048","0.051","44","23500","44079","26200","1A","C","2616","F956","Incorrect Width Shipped                           ","2616",5,"Planning Error                                    ",2616,"F005","Planning Error                                    ","2616","VAR","B70","Order Match Error        ","0","2616","0","0",4340,"     "
36,67776,1,"F","T","02W89K ","C     ","F","W89K  ","B","B",120,"304",71,"0.049","49","0","b8e9acebf18ada68b0776739b29c12c0","0.048","0.051","44","23500","44079","25330","1A","C","2531","F956","Incorrect Width Shipped                           ","2531",5,"Planning Error                                    ",2531,"F005","Planning Error                                    ","2531","VAR","B70","Order Match Error        ","0","2531","0","0",4340,"     "
37,67777,1,"L","T","VD60177","      ","L","W50K  ","A","B",152,"304/304L      ",4,"0.125","2","252","0f6ef5c224426ccda69a8f4be965282f","0.105","0.145","4","1000","3000","1364","1","C","1364","LB21","OOT in leg length tol                             ","1364",8,"Operation Defect                                  ",1364,"L011","Hot Rolling Mill                                  ","1364","LPH","L94","OOT Dimensions           ","0","1364","0","0",0,"INSP2"
38,67778,1,"L","T","VD60187","      ","L","W70E  ","A","B",152,"304/304L      ",4,"0.125","2","252","0f6ef5c224426ccda69a8f4be965282f","0.105","0.145","4","1000","3000","1532","1","C","238","LB21","OOT in leg length tol                             ","238",8,"Operation Defect                                  ",238,"L011","Hot Rolling Mill                                  ","238","LPH","L94","OOT Dimensions           ","0","238","0","0",0,"INSP2"
39,67780,1,"F","T","04W45V ","AC    ","F","W45V  ","B","F",501,"430",12,"0.04","47","0","cf4f8f99faacf507d56c82c6b8ceecd4","0","0","0","0","0","15030","1V","C","15030","F993","Second Quality Claim                              ","15030",8,"Operation Defect                                  ",15030,"F041","Line 3330                                         ","15030","VAR","D66","Second Quality Claim     ","15030","0","0","0",3330,"     "
40,67782,1,"F","T","01W86F ","C     ","F","W86F  ","B","N",808,"409-20        ",1,"0.125","48","0","66db05946912d56ad461e4edc509574f","0.116","0.126","48.0625","13000","20000","15570","1A","C","0","FB33","OTT THICKNESS (HOT COIL)                          ","0",8,"Operation Defect                                  ",0,"F011","Hot Mill                                          ","0","LC ","C25","OOT Dimensions-HR        ","0","0","0","0",4310,"     "
41,67784,1,"F","T","01W90C ","C     ","F","W90C  ","B","H",50,"304L          ",22,"0.1305","60","0","679e19234b295ee432a3920c30fda6ac","0.129","0.141","60.25","15000","20000","31840","5A","C","26091","FH45","Z-MILL PIMPLE TYPE A (11 ZM 1 & 2 - 7 ZM3)      ","26091",8,"Operation Defect                                  ",26091,"F024","Line 3620                                         ","26091","CM ","D10","Roll Mark                ","0","0","26091","0",4310,"     "
42,67785,1,"F","T","02R05B ","BBAB  ","F","R05B  ","B","F",500,"430",43,"0.0232","55.632","0","4643b6e9cf10e9d333d978c8b66dd3b7","0.0222","0.0242","55.66","20000","24000","8090","1A","C","8090","F986","Damaged during storage (DIRT/CORROSION/HANDLING)  ","8090",2,"Wrong Standard                                    ",8090,"F020","Crane                                             ","8090","VAR","A75","Coil Damage              ","0","0","8090","0",4320,"     "
43,67799,1,"F","T","04W93R ","B     ","F","W93R  ","B","E",601,"201",43,"0.0345","60","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","60.125","10000","19999","14050","1A","C","2030","FH07","DENTS FROM SL                                     ","2030",1,"Defect Not Seen                                   ",2030,"F027","Line 4320                                         ","2030","CM ","B20","Dents                    ","2030","0","0","0",4320,"     "
44,67802,1,"X","T","04W89M ","A     ","F","W89M  ","B","B",150,"304L          ",22,"0.25","0","0","b7ed2c4eb3ca651581d6fb635196e665","0","0","0","0","0","27200","1","C","2407","FS51","SLIPS FROM SL1                                    ","2407",8,"Operation Defect                                  ",2407,"F026","Line 4310                                         ","2407","CM ","D85","Slip/ Digs               ","0","2407","0","0",0,"     "
45,67803,1,"X","T","BN2230 ","6","L","W95P  ","B","B",143,"304/304L      ",20,"0.75","0","144","9b2cb79a714bc3f0b29663563ce489be","0","0","0","0","0","1368","1","C","36","W013","HANDLING DAMAGE                                   ","36",40,"Warehouse Error                                   ",36,"W008","WH OPERATIONS                                     ","36","WH ","W30","Handling Damage          ","0","36","0","0",0,"     "
46,67804,1,"X","T","BN2262 ","5","L","W84B  ","B","B",143,"304/304L      ",20,"0.625","0","144","9b2cb79a714bc3f0b29663563ce489be","0","0","0","0","0","1184","1","C","38","W013","HANDLING DAMAGE                                   ","38",40,"Warehouse Error                                   ",38,"W008","WH OPERATIONS                                     ","38","WH ","W30","Handling Damage          ","0","38","0","0",0,"     "
47,67805,1,"X","T","02W78K ","C     ","F","W78K  ","B","A",101,"301",12,"0.048","0","0","b1adcc620d13b1b09774826e53c9a2a8","0","0","0","0","0","10540","1","C","2067","FJ44","ALCALI STAINS                                     ","2067",2,"Wrong Standard                                    ",2067,"F041","Line 3330                                         ","2067","CM ","F13","Stains - AP              ","2067","0","0","0",0,"     "
48,67807,1,"F","T","02W93C ","B     ","F","W93C  ","B","B",120,"304",22,"0.182","60","0","ad179b72434468ffac702ff96360b0aa","0.18","0.194","60.125","12000","40000","20570","1A","C","692","FH50","WORK ROLL STOP FROM Z.M.                          ","692",8,"Operation Defect                                  ",692,"F024","Line 3620                                         ","692","CM ","D10","Roll Mark                ","0","692","0","0",4310,"     "
49,67811,1,"F","T","01W86T ","B     ","F","W86T  ","B","F",502,"430",22,"0.0402","60","0","eebd792a891a064d2bd57e436fd4b7da","0.0371","0.0433","60.125","10000","30000","32440","1A","C","0","FC62","STREAKY ROUGHNESS                                 ","0",8,"Operation Defect                                  ",0,"F022","Line 3310                                         ","0","LC ","D35","Roughness                ","0","0","0","0",4220,"     "
50,67815,1,"F","T","05W85D ","A     ","F","W85D  ","B","F",501,"430",70,"0.0175","19.8228","0","5e17c644d21becf7b4b7d85e9f01363f","0.0162","0.0192","19.8388","8000","11000","11705","1A","C","1505","F932","Difference in Weight                              ","1505",8,"Operation Defect                                  ",1505,"F005","Planning Error                                    ","1505","VAR","F30","Weight Discrepency       ","0","1505","0","0",4320,"     "
51,67816,1,"F","T","05W85D ","B     ","F","W85D  ","B","F",501,"430",70,"0.0175","19.822","0","5e17c644d21becf7b4b7d85e9f01363f","0.0162","0.0192","19.8388","8000","11000","11705","1A","C","1505","F932","Difference in Weight                              ","1505",8,"Operation Defect                                  ",1505,"F005","Planning Error                                    ","1505","VAR","F30","Weight Discrepency       ","0","1505","0","0",4320,"     "
52,67819,1,"F","T","06W81F ","AD    ","F","W81F  ","B","B",120,"304",22,"0.1015","48","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","36.0625","10000","20000","17460","5A","C","3328","FP45","MANDREL MARKS                                     ","3328",34,"Outside/Processor Error                           ",3328,"F034","Out Processor Error                               ","3328","CM ","C05","Mandrel Marks            ","0","0","3328","0",4210,"     "
53,67820,1,"F","T","05W48C ","HAA   ","F","W48C  ","P","B",150,"304L          ",1,"0.6288","48","96","7fef1d0f9de33a418bd6b97f3b6142e3","0.615","0.68","48.1875","2500","6000","1020","5A","C","0","F005","Planning Error                                    ","0",5,"Planning Error                                    ",0,"F005","Planning Error                                    ","0","PLA","C67","Planning Error           ","0","0","0","0",2780,"     "
54,67823,1,"F","T","01W86T ","A     ","F","W86T  ","B","F",502,"430",22,"0.0402","60","0","eebd792a891a064d2bd57e436fd4b7da","0.0371","0.0433","60.125","10000","30000","27510","1A","C","0","FC62","STREAKY ROUGHNESS                                 ","0",8,"Operation Defect                                  ",0,"F022","Line 3310                                         ","0","LC ","D35","Roughness                ","0","0","0","0",4220,"     "
55,67825,1,"F","T","02W93C ","A     ","F","W93C  ","B","B",120,"304",22,"0.182","60","0","ad179b72434468ffac702ff96360b0aa","0.18","0.194","60.125","10000","36000","18580","1A","C","4029","FF68","NO SKIN PASS (GIVE REASON)                        ","4029",8,"Operation Defect                                  ",4029,"F036","Line 4120                                         ","4029","CM ","F35","Without Skinpass         ","0","4029","0","0",4310,"     "
56,67830,1,"F","T","03W47N ","BBB   ","F","W47N  ","B","A",101,"301",71,"0.028","48","0","ad179b72434468ffac702ff96360b0aa","0.028","0.032","48.0625","10000","20000","11235","1A","C","11235","F947","Pits from Cold Rolling                            ","11235",8,"Operation Defect                                  ",11235,"F063","Line 3410                                         ","11235","CM ","C65","Pits                     ","11116","119","0","0",4330,"     "
57,67830,2,"F","T","03W47N ","BBB   ","F","W47N  ","B","A",101,"301",71,"0.028","48","0","ad179b72434468ffac702ff96360b0aa","0.028","0.032","48.0625","10000","20000","11235","1A","C","0","F947","Pits from Cold Rolling                            ","0",8,"Operation Defect                                  ",0,"F063","Line 3410                                         ","0","CM ","C65","Pits                     ","0","0","0","0",4330,"     "
58,67832,1,"F","T","04W93A ","C     ","F","W93A  ","B","B",120,"304",22,"0.0577","60","0","1558338fcea76c5395ed87ae904596b7","0","0","0","0","0","16690","1A","C","1260","FJ02","SCRATCHES FROM COLD ANNEALING AND PICKLING        ","1260",1,"Defect Not Seen                                   ",1260,"F022","Line 3310                                         ","1260","CM ","D55","Scratches                ","0","1260","0","0",4340,"     "
59,67838,1,"F","T","04W94B ","A     ","F","W94B  ","B","E",611,"201",22,"0.182","60","0","ad179b72434468ffac702ff96360b0aa","0.18","0.194","60.125","10000","36000","20740","1A","C","4466","FF51","ROLLED DIGS FROM THE Z-MILL                       ","4466",8,"Operation Defect                                  ",4466,"F024","Line 3620                                         ","4466","CM ","D85","Slip/ Digs               ","4466","0","0","0",4310,"     "
60,67842,1,"F","T","07W88C ","C     ","F","W88C  ","B","F",502,"430",22,"0.0276","48","0","eebd792a891a064d2bd57e436fd4b7da","0.026","0.029","48.0625","10000","30000","23675","1A","C","0","FC62","STREAKY ROUGHNESS                                 ","0",8,"Operation Defect                                  ",0,"F041","Line 3330                                         ","0","LC ","D35","Roughness                ","0","0","0","0",4330,"     "
61,67845,1,"F","T","03W66Y ","BBA   ","F","W66Y  ","B","E",611,"201",43,"0.0345","28.338","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","28.3425","10000","19999","6260","1A","C","3900","FI48","EMULSION STAINS FROM SKP#2                        ","3900",1,"Defect Not Seen                                   ",3900,"F036","Line 4120                                         ","3900","CM ","F12","Stains - SKP             ","3900","0","0","0",4320,"     "
62,67850,1,"F","T","02W80R ","C     ","F","W80R  ","B","B",120,"304",32,"0.1163","60","0","3666591740069bed237968c8802716f3","0.115","0.125","60.125","10000","44000","13500","1A","C","13500","FL67","Tranfering Scratch (from opposite face) any source","13500",17,"Bottom Side Defect                                ",13500,"F049","Line 4340                                         ","13500","CM ","D55","Scratches                ","2703","450","10347","0",4340,"     "
63,67853,1,"F","T","03W91F ","C     ","F","W91F  ","B","B",150,"304L          ",22,"0.187","48","0","b1620db2c3d5f936edd61cc21fd08a68","0.1805","0.1885","48.125","10000","25000","17140","1A","C","1250","FG51","Digs/Slips from CB Line                           ","1250",8,"Operation Defect                                  ",1250,"F064","Line 3110                                         ","1250","CM ","D85","Slip/ Digs               ","0","1250","0","0",4310,"     "
64,67854,1,"F","T","02W75A ","BC    ","F","W75A  ","B","E",601,"201",32,"0.0345","60","0","ad179b72434468ffac702ff96360b0aa","0.034","0.038","60.125","15000","26000","16170","1A","C","3628","FS57","FELT LINE SCRATCHES FROM S.L.                     ","3628",8,"Operation Defect                                  ",3628,"F049","Line 4340                                         ","3628","CM ","D55","Scratches                ","1822","1806","0","0",4340,"     "
65,67856,1,"F","T","02W91Y ","A     ","F","W91Y  ","B","C",270,"316L          ",42,"0.096","48","0","3666591740069bed237968c8802716f3","0.093","0.098","48.0625","19000","45000","26060","1A","C","1040","FC04","SLIVERS TYPE B (EDGES)                            ","1040",8,"Operation Defect                                  ",1040,"F011","Hot Mill                                          ","1040","AC ","F05","Slivers                  ","0","1040","0","0",4310,"     "
66,67857,1,"F","T","03W66Y ","BAA   ","F","W66Y  ","B","E",611,"201",43,"0.0345","28.338","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","28.3425","10000","19999","8450","1A","C","8430","FI48","EMULSION STAINS FROM SKP#2                        ","8430",1,"Defect Not Seen                                   ",8430,"F036","Line 4120                                         ","8430","CM ","F12","Stains - SKP             ","8430","0","0","0",4320,"     "
