"DefectCodeId","DefectCode","Description","DefectGroup","ShortDescription","DefectOrigin","DefectStrLine","DefectEndLine"
46,"A46       ","NO TAIL CROP TAKEN","G99            ","Pipe in End of Casting","AC   ",0,0
47,"A47       ","EXCESS GRINDING","G99            ","Excess Grinding","AC   ",1510,1510
48,"A48       ","BLEED-OFF (Narrow Face)","G99            ","Nails","AC   ",0,0
49,"A49       ","RESIDUAL OSCILLATION MARKS","G99            ","Oscillation Marks","AC   ",0,0
50,"A50       ","DIFFERENCE IN DIAGONALS - SLAB ONLY","G99            ","OOT in Squareness","AC   ",0,0
51,"A51       ","BUCKLES FROM GRINDING (EDGES)","G99            ","Buckles from Grinding","AC   ",1510,1510
52,"A52       ","DIFFERENCE IN WIDTHS BY AUTOMATIC CHANGE","G99            ","Difference in Widths","AC   ",0,0
53,"A53       ","Scratches/Rub (no dug up material)","G99            ","Excess Cutting","AC   ",0,0
54,"A54       ","Scratches/Rub (dug up material)","G99            ","Scratches","AC   ",0,0
55,"A99       ","OTHER DEFECTS (UNKNOWN DEFECTS IN MELT SHOP)","G99            ","Unknown Defect","AC   ",0,0
56,"B01       ","GAUGE SPIKES - HOT ROLLING","G72            ","Gauge Spikes - Hot Rolling","LC   ",2410,2410
57,"B03       ","FOLDS (COILS)","G72            ","Folds","LC   ",2410,2410
58,"B07       ","SLAB GRINDER GRAIN MARKS","G72            ","Slivers","LC   ",1510,1510
59,"B10       ","EDGE BUR FROM HOT ROLLING","G72            ","Edge Bur","LC   ",2410,2410
60,"B11       ","LATERAL STEP FROM HOT ROLLING","G72            ","Lateral Step","LC   ",2410,2410
61,"B12       ","CRIMPED EDGE FROM HOT ROLLING","G72            ","Crimped edge","LC   ",2410,2410
62,"B13       ","CHAIN FROM HOT ROLLING","G72            ","Chain","LC   ",2410,2410
63,"B14       ","SCALE FROM HOT ROLLING (PLATE SHOP)","G72            ","Scale","LC   ",2410,2410
64,"B32       ","OUT OF TOLERANCE IN WIDTH  MILL EDGE","G72            ","OOT in Width","LC   ",1310,2410
65,"B33       ","OUT OF TOLERANCE IN THICKNESS (HOT COIL)","G72            ","OOT in Thickness-HR","LC   ",2410,2410
66,"B39       ","IMPRINTS FROM FURNACE (HOT ROLLING)","G72            ","Imprints","LC   ",2410,2410
715,"C94       ","No Center Buckle",NULL,NULL,"LC   ",2410,2410
67,"B44       ","WATER STAINS FROM HOT ROLLING","G72            ","Stains","LC   ",2410,2410
69,"B51       ","SLIPS/DIGS FROM HM -DIAGONAL/FROM TELESCOPE/OSCILL","G72            ","Slips","LC   ",2410,2410
71,"B67       ","CAMBER (COILS)","G72            ","Camber","LC   ",2410,2410
72,"B70       ","HEAVY EDGE HITS FROM SUPPLIER","G99            ","HEAVY EDGE HITS FROM SUPPLIER","LC   ",0,0
73,"B99       ","BLACK COIL INSPECTION NOT POSSIBLE","G72            ","BLACK COIL INSPECTION NOT POSSIBLE","LC   ",0,0
74,"C00       ","HOLES FROM HOT ROLLING","G72            ","Holes","LC   ",2410,2410
75,"C01       ","HM DIGS/BOTH FACES/WIDTH/CONE SHAPE/WITH OUT SCALE","G71            ","Digs","LC   ",2410,2410
76,"C02       ","HM DIGS/BOTH FACES/WIDTH/CONE SHAPE/ WITH SCALE","G72            ","Digs","LC   ",2410,2410
77,"C03       ","WRINKLES FROM HOT ROLLING","G72            ","Wrinkles","LC   ",2410,2410
78,"C04       ","SLIVERS TYPE B (EDGES)(MELT SHOP ORIGIN)","G71            ","Slivers","AC   ",1310,1320
80,"C06       ","SLIVERS TYPE C (CENTER)","G71            ","Slivers","AC   ",1310,1320
81,"C07       ","SLIVERS TYPE A (WIDTH)","G71            ","Slivers","AC   ",1310,1320
82,"C08       ","SLIVERS EDGES (HOT MILL ORIGIN)Heat+Soak >200(aust","G72            ","Slivers","LC   ",2410,2410
83,"C09       ","CENTER BUCKLE FROM HOT ROLLING","G72            ","Center Buckle","LC   ",2410,2410
84,"C10       ","CRACKED EDGES from HOT rolling","G72            ","Cracked Edges","LC   ",2410,2410
85,"C11       ","DOUBLED EDGE FROM HOT ROLLING","G72            ","Doubled Edge","LC   ",2410,2410
86,"C12       ","OSCILLATION INCLUSIONS/OPEN/FLAKY/LAM LIKE","G71            ","Oscillation Slivers","AC   ",1310,1320
87,"C13       ","EDGE WIRE FROM HOT ROLLING","G72            ","Edge Wore","LC   ",2410,2410
88,"C14       ","Residual Scale from Black Rolling (APC & Fin only)","G70            ","Scale","VAR  ",0,0
89,"C18       ","SEAMS (less than 1.5)","G71            ","Seams (< 1.5)","AC   ",1310,1320
91,"C21       ","LAMINATIONS TYPE B (EDGES)","G71            ","Laminations","AC   ",1310,1320
92,"C22       ","LAMINATIONS TYPE NO. 1 (1ST OR LAST SLAB TUNDISH)","G71            ","Laminations","AC   ",1310,1320
93,"C23       ","LAMINATIONS TYPE C (CENTER)","G71            ","Laminations","AC   ",1310,1320
94,"C24       ","LAMINATIONS TYPE A (WIDTH)","G71            ","Laminations","AC   ",1310,1320
95,"C25       ","SEAMS (greater than 1.5)","G71            ","Lam: Thin Line (> 1.5)","AC   ",1310,1320
96,"C28       ","LATERAL SEAMS TYPE 1 (EDGES)","G72            ","Lateral Edge Seams","LC   ",2410,2410
97,"C29       ","LATERAL FRINGE  W/ Scale","G72            ","Lateral Fringe","LC   ",2410,2410
98,"C30       ","TITANIUM STREAK","G71            ","Titanium Inclusions","AC   ",0,0
99,"C39       ","IMPRINTS FROM REFACTORY (HOT ROLLING)","G72            ","Imprints","LC   ",2410,2410
100,"C40       ","TITANIUM INCLUSIONS","G71            ","Titanium Inclusions","AC   ",0,0
101,"C41       ","INCRUSTATIONS FROM HOT ROLLING","G72            ","Incrustations","LC   ",2410,2410
102,"C42       ","ROLL MARK DC PINCH ROLL BOTTOM  (60-62)","G72            ","HR Work Roll Mark-PR","LC   ",2410,2410
103,"C43       ","ROLL MARK DC PINCH ROLL TOP (110-111)","G72            ","HR Work Roll Mark-PR","LC   ",2410,2410
104,"C44       ","Grease Stains from Pickling PMP ONLY!","G72            ","PMP Stains","LC   ",2410,2410
107,"C47       ","EDGE WAVES FROM HOT ROLLING","G72            ","Edge Waves-HR","LC   ",2410,2410
108,"C50       ","WORK ROLL STOP FROM HOT ROLLING","G72            ","Hot Mill Roll Stop","LC   ",2410,2410
109,"C51       ","SLIPS/DIGS FROM HM - H&T ONLY - NO PATTERN","G72            ","Slips","LC   ",2410,2410
110,"C52       ","DENTS FRM POOR COOLING HM (WIDTH)CONFIRM IN ENTRY",NULL,NULL,"LC   ",2410,2410
111,"C57       ","LINE SCRATCHES FR0M HOT ROLLING TYPE 2","G72            ","Scratches","LC   ",2410,2410
112,"C60       ","UNIFORM ROUGHNESS(NON STREAKY) WIDTH","G72            ","Superficial Roughness","LC   ",2410,2410
114,"C62       ","STREAKY ROUGHNESS","G72            ","Roughness","LC   ",2410,2410
115,"C63       ","Pierce Hole (PMP)",NULL,NULL,"LC   ",0,0
117,"C67       ","POOR EDGE STRAIGHTNESS FROM HOT ROLLING","G72            ","Camber","LC   ",2410,2410
118,"C68       ","DEFECTIVE CUTTING (THICK PLATE SHOP)","G72            ","Defective Cut","LC   ",0,0
119,"C77       ","BROKEN EDGE FROM HOT ROLLING","G72            ","Broken Edge","LC   ",2410,2410
120,"D11       ","TRUMPET Cause by HRM defect (D12)","G72            ","Trumpet","LC   ",2410,4600
121,"D12       ","DEFECTIVE EDGE FROM HOT ROLLING","G72            ","Defective Edge","LC   ",2410,2410
122,"D14       ","SCALE MARKS  - MS Origin","G72            ","Scale Marks","AC   ",1310,1310
123,"D39       ","IMPRINTS FROM ROUGH./FINISH. MILL (HOT ROLLING)","G72            ","Imprints","LC   ",2410,2410
124,"D51       ","ROLL MARK / SCRATCH     HR TABLE ROLLS  INT FACE","G72            ","Slips","LC   ",2410,2410
125,"D57       ","Scratces from Edging: Ht Mll-2 from Edge or Less","G72            ","Scratches","LC   ",2410,2410
126,"E11       ","WEDGE FROM HOT ROLLING","G72            ","Wedge","LC   ",2410,2410
127,"E39       ","IMPRINTS FROM FLATTENER (THICK PLATE SHOP)","G72            ","Imprints","LC   ",0,0
129,"F00       ","HOLE FROM COLD ROLLING","G70            ","Holes","VAR  ",0,0
130,"F01       ","SCRATCHES CAUSED BY POOR COLD ROLLING SHAPE","G70            ","Scratches","ZM   ",3610,3640
131,"F02       ","SCRATCHES CAUSED BY POOR HOT ROLLING SHAPE","G70            ","Scratches","LC   ",2410,2410
132,"F03       ","CRIMPS FROM COLD AP/ BA LINE CRASH","G70            ","Crimps","RF   ",3310,3310
133,"F04       ","CRIMPS/DEF EDGE FROM APH LINE CRASH","G70            ","Crimps","RC   ",3320,3320
134,"F08       ","CRIMPED EDGE FROM SIDE GUIDES","G70            ","Crimps","VAR  ",9500,9500
135,"F09       ","CENTER BUCKLE FROM COLD ROLLING","G70            ","Center Buckle","ZM   ",3620,3620
136,"F10       ","DAMAGED EDGE FROM SEPERATOR RING","G70            ","Damage edge from seperator ring","VAR  ",9500,9500
137,"F11       ","TRUMPET (CAUSE FROM AP DEFECT)","G70            ","Defective Edge","RCF  ",3310,3340
138,"F12       ","CRIMPED EDGE FROM COLD ROLLING (ZM, H-AP, C-AP)","G70            ","Crimps","VAR  ",9500,9500
139,"F13       ","CHAIN FROM COLD ROLLING","G70            ","Chain","ZM   ",3610,3650
140,"F14       ","SCALE FROM COLD ROLLING TYPE 1","G70            ","Scale","RC   ",3310,3340
141,"F15       ","SCALE - SEEN MICROSCOPE ONLY - BA ONLY","G70            ","Burnt Carbon","RC   ",3310,3340
142,"F16       ","PAPER CORROSION","G70            ","Paper Corrosion","VAR  ",9500,9500
143,"F17       ","ROLLED SCALE - TYPE 2 FROM HOT ROLLING","G70            ","Edge Bur","LC   ",0,0
144,"F18       ","ROLLED SCALE","G70            ","Rolled Scale","RC   ",3320,3320
145,"F19       ","CROSS BUCKLES FROM S.K.P.","G70            ","Cross Buckles","SKP  ",4120,4120
146,"F20       ","PAPER PATTERN - RANDOM / WIDTH","G70            ","Paper Pattern","ZM   ",3610,3650
147,"F21       ","BENDING","G70            ","Bending","VAR  ",9500,9500
148,"F22       ","AGING FROM Z.M.","G70            ","Aging","ZM   ",3610,3650
149,"F23       ","HERRING BONE","G70            ","Herring Bone","ZM   ",3610,3650
150,"F24       ","EXCESS PICKLING","G70            ","Excess Pickling","RF   ",3310,3340
151,"F25       ","EXCESS ANNEALING","G70            ","Excess Annealing","RF   ",3310,3340
152,"F26       ","LUDERS LINES","G70            ","Luders Lines","SKP  ",4120,4120
153,"F27       ","Cracked Earth","G70            ","Roll Mark","VAR  ",0,0
154,"F32       ","OUT OF TOLERANCE IN WIDTH -Mill Edge Cold MIll","G70            ","OOT in Width","VAR  ",3610,3660
155,"F33       ","OUT OF TOLERANCE IN THICKNESS (SHEET AND COIL)","G70            ","OOT in Thickness-CR","ZM   ",3610,3650
156,"F34       ","OUT OF TOLERANCE IN LENGTH (SHEET)","G70            ","OOT in Length","CS   ",4210,4220
158,"F36       ","SHOT BLAST MARKS","G70            ","Shot Blast","RC   ",3320,3320
159,"F37       ","DARK STREAKS IN POLISH","G70            ","Stains","GP   ",3510,3510
160,"F38       ","PROPELLER","G70            ","Propeller","ZM   ",3610,3650
161,"F40       ","INSUFFICIENT POLISH FROM EDGE CRIMPS/POOR SHAPE","G70            ","Poor Polish","VAR  ",3510,3520
162,"F41       ","PAPER INCRUSTATIONS","G70            ","Paper Pattern","VAR  ",9500,9500
163,"F42       ","ROUGH POLISH (MUST NOTE RA MEASUREMENT)","G70            ","Poor Polish","GP   ",3510,3520
164,"F43       ","Scrubber Brush Wear Pattern: Edges or Center APHot","G70            ","Surface roughness","RCF  ",3340,3340
165,"F44       ","OIL STAINS","G70            ","Stains","ZM   ",3610,3650
166,"F45       ","SCRUBBER BRUSH MARKS FROM HOT AND/OR COLD AP","G70            ","Brush Marks","RCF  ",3310,3340
167,"F46       ","NOTCHES","G70            ","Notches","VAR  ",9500,9500
168,"F47       ","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)","G70            ","Edge Waves","ZM   ",3310,3310
169,"F48       ","ROLLED PAPER TYPE 1","G70            ","Rolled Paper","ZM   ",3610,3620
170,"F49       ","BURNT PAPER","G70            ","Burnt Paper","ZM   ",3610,3650
171,"F50       ","FLATTENER MARK FROM C.S.","G70            ","Flattener Mark","CS   ",4210,4220
172,"F51       ","ROLLED DIGS FROM THE Z-MILL","G70            ","Rolled Digs","ZM   ",3610,3650
173,"F53       ","ORANGE PEEL (SKIN)","G70            ","Orange Peel","SKP  ",4120,4120
174,"F54       ","OUT OF TOLERANCE IN FLATNESS (SHEET)","G70            ","OOT in Flatness","CS   ",4210,4220
175,"F55       ","POOR ANNEALING","G70            ","Poor Annealing","RCF  ",3310,3340
176,"F56       ","POOR PICKLING","G70            ","Poor Pickling","RCF  ",3310,3340
177,"F57       ","EXFOLIATION","G70            ","Exfoliation","VAR  ",3310,3340
178,"F58       ","BURS OR LIP FROM SHEAR","G70            ","Burrs","VAR  ",9500,9500
179,"F59       ","RIBBING","G70            ","Ribbing","VAR  ",9500,9500
180,"F60       ","SUPERFICIAL ROUGHNESS FROM COLD ROLLING","G70            ","Superficial Roughness","RCF  ",9500,9500
181,"F61       ","TILE","G70            ","Tile","ZM   ",3610,3650
182,"F62       ","TEMPER COLOR - BA substrate only (Yellow/Gold)","G70            ","Poor Color","VAR  ",9500,9500
183,"F64       ","WORK ROLL CHATTER MARK FROM Z.M.","G70            ","ZM Chatter","ZM   ",3610,3650
184,"F65       ","ROLL CHATTER FROM Z-MILL, OTHER THAN WR","G70            ","ZM Chatter","ZM   ",3610,3650
185,"F66       ","OUT OF TOLERANCE IN DIAGONALS (SHEETS)","G70            ","OOT in Diagonals","CS   ",4210,4220
186,"F68       ","NO SKIN PASS (GIVE REASON)","G70            ","No Skin Pass","SKP  ",4120,4120
187,"F69       ","ROLL MARK FROM LEVELLER(SANDING SCRATCHES)","G70            ","Leveler Roll Mark","CS   ",4210,4220
188,"F70       ","ROLL MARK FROM LEVELLER","G70            ","Leveler Roll Mark","CS   ",4210,4220
191,"F77       ","BROKEN EDGE FROM COLD ROLLING","G70            ","Broken Edge","VAR  ",9500,9500
192,"F78       ","ROLL MARK FROM COOLING CHAMBER COLD AP (25)","G70            ","Roll Mark","RF   ",3310,3310
193,"F79       ","LEVELLER ROLL STOP","G70            ","Leveller Roll Stop","CS   ",4210,4220
194,"F80       ","ACID STAINS FROM HAP TYPE 1","G70            ","Stains","RC   ",3320,3320
197,"F83       ","ACID STAINS FROM HAP TYPE 2","G70            ","Stains","RC   ",3320,3320
198,"F84       ","WATER STAINS FROM HAP TYPE 3","G70            ","Stains","RC   ",3320,3320
199,"F85       ","KNIFE MARK Finish Lines (CHIPS/CHATTER NOTED)","G70            ","Knife Mark","SL   ",4210,4320
200,"F86       ","LOSS OF CUT","G70            ","Knife Mark","SL   ",4210,4320
201,"F87       ","STAINS TYPE 3 (Comet Shaped)","G70            ","Stains","RF   ",3610,3650
202,"F88       ","STAIN FROM BURNT DEBRIS(DIRT)w/or wo/pits","G70            ","Stains","VAR  ",3310,3310
203,"F89       ","EDGE DAMAGE FORM CRANE","G70            ","Crane Damage","VAR  ",9500,9500
204,"F90       ","CREASE FROM SLITTER HEAD","G70            ","Crease from slitter head","SL   ",4210,4320
205,"F91       ","DENTS FROM HANDLING","G70            ","Dents","VAR  ",9500,9500
206,"F92       ","DENTS (DAMAGE) ON CLAIM MATERIAL.","G70            ","Dents","VAR  ",9500,9500
207,"F93       ","EDGE DAMAGE FROM TELESCOPE/OSCILLATION CORRECTION","G70            ","Edge Damage","LC   ",2410,2410
208,"H00       ","BELT MARK FROM GP","G70            ","Belt Mark from GP","GP   ",3510,3520
209,"H01       ","SCRATCHES FROM GP","G70            ","Scratches","GP   ",3510,3520
210,"H02       ","SCRATCHES FROM G.P. BILLY ROLLS","G70            ","Scratches","GP   ",3510,3520
211,"H03       ","WRINKLES FROM Z.M.","G70            ","Wrinkles","ZM   ",3610,3650
212,"H04       ","STAINS FROM GP","G76            ","Stains","GP   ",3510,3520
213,"H05       ","DENTS FROM GP","G70            ","Dents","GP   ",3510,3520
214,"H06       ","DENTS FROM COLD ANNEALING & PICKLING LINE","G70            ","Dents","RF   ",3310,3310
215,"H07       ","DENTS FROM SL","G70            ","Dents","SL   ",4210,4320
216,"H08       ","DENTS FROM BANDING","G70            ","Dents","VAR  ",9500,9500
217,"H09       ","DENT FROM CS LINE","G70            ","Dents","CS   ",4210,4210
218,"H10       ","DENT FROM FOREIGN OBJECT FALLING INTO THE COIL","G70            ","Dents","VAR  ",9500,9500
219,"H11       ","CONVECTOR MARKS","G70            ","Convector Marks","BL   ",0,0
220,"H12       ","STAINS FROM GP LINE STOP",NULL,NULL,"GP   ",3510,3520
221,"H13       ","BELT STOPS FROM GP ACROSS WIDTH","G70            ","GP Belt Stops","GP   ",3510,3520
222,"H14       ","SCALE FRM EDGE WAVES(NOTE C47 MEASURE)","G70            ","Scale","LC   ",3320,3320
223,"H15       ","DENTS FROM THE LEADER STRIP WELD","G70            ","Dents","VAR  ",9500,9500
224,"H22       ","AGING FROM S.K.P.","G70            ","Wrinkles","SKP  ",4120,4120
225,"H25       ","EXCESS ANNEALING WITH SCALE","G70            ","Excess Annealing","RF   ",3310,3340
226,"H39       ","IMPRINTS FROM S.K.P.","G70            ","SKP Roll Mark","SKP  ",4120,4120
227,"H44       ","ACID STAINS","G70            ","Stains","RF   ",3310,3340
228,"H45       ","Z-MILL PIMPLE TYPE A  - OBSOLETE   DO NOT USE","G70            ","Roll Mark","ZM   ",3610,3650
229,"H46       ","Z-MILL PIMPLE TYPE B  - OBSOLETE   DO NOT USE","G70            ","Roll Mark","ZM   ",3610,3650
230,"H47       ","Z-MILL PIMPLE TYPE C  - OBSOLETE   DO NOT USE","G70            ","Roll Mark","ZM   ",3610,3650
231,"H48       ","Z-MILL PIMPLE        (11 ZM1/ZM2/ZM5  7 ZM3/ZM4)","G70            ","Roll Mark","ZM   ",3610,3650
232,"H49       ","Z-MILL PIMPLE TYPE E  - OBSOLETE   DO NOT USE","G70            ","Roll Mark","ZM   ",3610,3650
233,"H50       ","WORK ROLL STOP FROM Z.M.","G70            ","Z-Mill Roll Stop","ZM   ",3610,3650
235,"H52       ","INSUFFICIENT REDUCTION AT THE Z-MILL","G70            ","Insufficient Reduction","ZM   ",3610,3650
236,"H56       ","LINE SCRATCHES FROM THE ENTRY AT COLD AP","G70            ","Scratches","RF   ",3310,3310
237,"H57       ","LINE SCRATCHES FROM ENTRY LOOP CAR AT COLD AP","G70            ","Scratches","RF   ",3310,3310
238,"H58       ","LINE SCRATCHES FROM EXIT LOOP CAR AT COLD AP","G70            ","Scratches","RF   ",3310,3310
239,"H59       ","LINE SCRATCHES FROM ALKALI DRYER AT COLD AP","G70            ","Scratches","RF   ",3310,3310
240,"H60       ","LINE SCRATCHES FROM FURNACE DRYER AT COLD AP","G70            ","Scratches","VAR  ",3310,3310
241,"H61       ","LINE SCRATCHES FROM PICKLING DRYER AT COLD AP","G70            ","Scratches","RF   ",3310,3310
242,"H62       ","LINE SCRATCHES FROM FURNACE EXIT AT COLD AP","G70            ","Scratches","RF   ",3310,3310
243,"H63       ","CHATTER - AP1/AP3 SKIN PASS","G70            ","SKP Chatter","RF   ",3310,3330
244,"H64       ","ZONE WITHOUT POLISH (NOTE FOOTAGE)","G70            ","Without Polish","GP   ",3510,3520
245,"H65       ","GP CHATTER (Straight/Wide)","G70            ","GP Chatter","GP   ",3510,3520
246,"H66       ","VIBRATION MARK FROM THE FINISHING LINES","G70            ","Vibration Mark - Finishing Line","SL   ",4210,4320
247,"H67       ","IRREGULAR SURFACE (Distortion)","G70            ","Distortion Chatter","RF   ",3310,3310
248,"H68       ","CHATTER FROM SKP #2","G70            ","SKP Chatter","SKP  ",4120,4120
249,"I43       ","WORK ROLL MARK FROM ZMILL(FISSURE) (11)","G70            ","Roll Mark","ZM   ",3610,3620
250,"I44       ","EMULSION STAINS FROM SKIN PASS","G70            ","Stains","SKP  ",4120,4120
251,"I45       ","OTHER ROLL MARK FROM Z-MILL (KNICK MARK)","G70            ","Roll Mark","ZM   ",3630,3660
253,"I47       ","ROLLMARK FROM Z-MILL DEFLECTOR ROLL","G70            ","Roll Mark","ZM   ",3610,3660
254,"I48       ","EMULSION STAINS FROM SKP#2","G70            ","Rolled Paper","SKP  ",4120,4120
255,"I49       ","STAINS FROM Z-MILL WORK ROLLS","G70            ","Roll Mark","ZM   ",3610,3660
256,"I51       ","SLIPS FROM GP LINE","G70            ","Slips","GP   ",3510,3520
257,"I53       ","SCRATCHES FROM Z-MILL (WIPER SCRATCHES)","G70            ","Scratches","ZM   ",3610,3620
258,"I54       ","INSERTION MARK FROM Z-MILL WORK ROLL    (11)","G70            ","Roll Mark","ZM   ",3610,3620
259,"I60       ","SUPERFICIAL ROUGH. FROM COLD ROLLING W/ COLD SCALE","G70            ","Superficial Roughness","VAR  ",9500,9500
260,"J02       ","SCRATCHES FROM COLD ANNEALING AND PICKLING","G70            ","Scratches","RF   ",3310,3310
261,"J03       ","COOLING (QUENCHING) WRINKLES /  DENTS","G70            ","Wrinkles","RF   ",3310,3310
262,"J11       ","LATERAL STEP FROM COLD ROLLING","G70            ","Lateral Step","ZM   ",3610,3620
263,"J44       ","STAINS FROM ALKALI SECTION","G70            ","Stains","RF   ",3330,3410
264,"J45       ","WORK ROLL MARKS FROM SKP (106)","G70            ","SKP Roll Mark","RF   ",3310,3310
265,"J46       ","SKP ROLL MARK, FROM SKP EMULSION/DEBRIS  AP1","G70            ","SKP Roll Mark","RF   ",3310,3310
266,"J47       ","WORK ROLL MARKS FROM SKP #2 (108)","G70            ","SKP Roll Mark","SKP  ",4120,4120
267,"J48       ","WORK ROLL MARKS FROM AP3/BAL (54)","G70            ","SKP Roll Mark","RF   ",3330,3410
268,"J49       ","WORK ROLL MARK FROM SKP DEBRIS SKP #2","G70            ","SKP Roll Mark","SKP  ",4120,4120
269,"J50       ","WORK ROLL STOP FROM SKP (All SKP LINES)","G70            ","SKP Roll Stop","SKP  ",3310,3310
270,"J51       ","WORK ROLL MARK FROM SKP DEBRIS AP3","G70            ","SKP Roll Mark","SKP  ",3330,3410
271,"J57       ","LINE SCRATCHES FROM FINISH LINES","G70            ","Scratches","SL   ",4210,4340
272,"J58       ","BACKING BEARING MARKS FROM LEVELLER","G70            ","Backing Bearing Mark Leveller","CS   ",4210,4220
273,"J59       ","GREASE STAIN FROM LEVELLER","G70            ","Stains","CS   ",4210,4220
274,"K02       ","SCRATCHES FROM BAL.","G70            ","Scratches","RF   ",3410,3410
275,"K03       ","PAPER WRINKLES","G70            ","Paper Pattern","VAR  ",9500,9500
276,"K04       ","CREASES IN GENERAL FROM COLD ROLLING (EDGES)","G70            ","Creases","VAR  ",9500,9500
277,"K41       ","RUBBER INCRUSTATIONS","G70            ","Rolled Rubber","RC   ",3310,3320
278,"K45       ","BA FURNACE ROLL STAIN/MARK   SEALER ROLL","G70            ","Gear Mark","RF   ",3410,3410
